0	1	2	3	4	5	6
AC007879.2	0	0	0	0	0	0	0
AC007950.2	0	0	0	0	0	0	0
AC008079.10	0	0	0	0	0	0	0
AC008088.4	0	0	0	0	0	0	0
AC008440.5	0	0	0	0	0	0	0
AC008753.6	0	0	0	0	0	0	0
AC008781.7	0	0	0	0	0	0	0
AC009005.2	0	0	0	0	0	0	0
AC009065.4	0	0	0	0	0	0	0
AC009120.10	0	0	0	0	0	0	0
AC009120.11	0	0	0	0	0	0	0
AC009133.12	0	0	0	0	0	0	0
AC009133.17	0	0	0	0	0	0	0
AC009133.21	0	0	0	0	0	0	0
AC009276.4	0	0	0	0	0	0	0
AC009299.2	0	0	0	0	0	0	0
AC009299.3	0	0	0	0	0	0	0
AC009403.2	0	0	0	0	0	0	0
AC009404.2	0	0	0	0	0	0	0
AC009473.1	0	0	0	0	0	0	0
AC009480.3	0	0	0	0	0	0	0
AC009501.4	0	0	0	0	0	0	0
AC009505.2	0	0	0	0	0	0	0
AC009506.1	0	0	0	0	0	0	0
AC009784.3	0	0	0	0	0	0	0
AC009948.5	0	0	0	0	0	0	0
AC009950.2	0	0	0	0	0	0	0
AC009961.3	0	0	0	0	0	0	0
AC010226.4	0	0	0	0	0	0	0
AC010287.1	0	0	0	0	0	0	0
AC010504.2	0	0	0	0	0	0	0
AC010642.1	0	0	0	0	0	0	0
AC010761.8	0	0	0	0	0	0	0
AC010883.5	0	0	0	0	0	0	0
AC010894.3	0	0	0	0	0	0	0
AC010894.5	0	0	0	0	0	0	0
AC010976.2	0	0	0	0	0	0	0
AC011298.2	0	0	0	0	0	0	0
AC011718.2	0	0	0	0	0	0	0
AC011747.4	0	0	0	0	0	0	0
AC011997.1	0	0	0	0	0	0	0
AC012074.2	0	0	0	0	0	0	0
AC012314.8	0	0	0	0	0	0	0
AC012358.8	0	0	0	0	0	0	0
AC012360.4	0	0	0	0	0	0	0
AC012442.6	0	0	0	0	0	0	0
AC013264.2	0	0	0	0	0	0	0
AC013461.1	0	0	0	0	0	0	0
AC015691.13	0	0	0	0	0	0	0
AC015849.19	0	0	0	0	0	0	0
AC015849.2	0	0	0	0	0	0	0
AC015922.6	0	0	0	0	0	0	0
AC015987.1	0	0	0	0	0	0	0
AC016700.5	0	0	0	0	0	0	0
AC016722.4	0	0	0	0	0	0	0
AC016831.7	0	0	0.0769307034916693	0	0	0	0
AC017002.1	0	0	0	0	0	0	0
AC017002.2	0	0	0	0	0	0	0
AC018816.3	0	0	0	0	0	0	0
AC020571.3	0	0	0	0	0	0	0
AC021188.4	0	0	0	0	0	0	0
AC021224.1	0	0	0	0	0	0	0
AC022154.7	0	0	0	0	0	0	0
AC022182.1	0	0	0	0	0	0	0
AC022182.3	0	0	0	0	0	0	0
AC023590.1	0	0	0	0	0	0	0
AC024560.2	0	0	0	0	0	0	0
AC024592.12	0	0	0	0	0	0	0
AC024704.2	0	0	0	0	0	0	0
AC025171.1	0	0	0	0	0	0	0
AC025335.1	0	0	0	0	0	0	0
AC026471.6	0	0	0	0	0	0	0
AC058791.1	0	0	0	0	0	0	0
AC061992.2	0	0	0	0	0	0	0
AC062017.1	0	0	0	0	0	0	0
AC062029.1	0	0	0	0	0	0	0
AC064834.2	0	0	0	0	0	0	0
AC068831.10	0	0	0	0	0	0	0
AC068831.6	0	0	0	0	0	0	0
AC069363.1	0	0	0	0	0	0	0
AC069513.4	0	0	0	0	0	0	0
AC073115.7	0	0	0	0	0	0	0
AC073283.7	0	0	0	0	0	0	0
AC073657.1	0	0	0	0	0	0	0
AC073934.6	0	0	0	0	0	0	0
